Node,Entrance,LSB,ALB,TLB,FLB,Cinderella's Castle,Swiss Family Treehouse,The Magic Carpets of Aladdin,Jungle Cruise,Enchanted Tiki Room,Pirates of the Caribbean,ALB1,FLB1,Splash Mountain,Big Thunder Mountain Railroad,Country Bear Jamboree,The Hall of Presidents,Haunted Mansion,Liberty Square Riverboat,FLB2,Prince Charming Regal Carrousel,Peter Pan's Flight,It's a Small World,Under the Sea - Journey of The Little Mermaid,The Barnstormer,Dumbo the Flying Elephant,Mad Tea Party,The Many Adventures of Winnie the Pooh,Seven Dwarfs Mine Train,BC,Tomorrowland Speedway,Space Mountain,Astro Orbiter,PeopleMover,Carousel of Progress,Buzz Lightyear's Space Ranger Spin,Monsters Inc. Laugh Floor
Country Bear Jamboree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,1.00,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Hall of Presidents,NA,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,NA,NA,NA,NA,0.00,NA,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haunted Mansion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberty Square Riverboat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,NA,NA,NA,NA,2.00,1.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,NA,0.00,NA,1.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prince Charming Regal Carrousel,NA,NA,NA,NA,NA,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,NA,NA,NA,NA,NA,1.00,2.00,2.00,NA,NA,NA,NA,NA,NA,NA
Peter Pan's Flight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,1.00,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
It's a Small World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,NA,1.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Under the Sea - Journey of The Little Mermaid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,2.00,NA,NA,NA,1.00,NA,NA,NA,NA,NA,NA,NA
The Barnstormer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dumbo the Flying Elephant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,1.00,0.00,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mad Tea Party,NA,NA,NA,NA,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,0.00,1.00,NA,NA,2.00,NA,NA,NA,NA,NA,NA
The Many Adventures of Winnie the Pooh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,NA,NA,NA,NA,NA,1.00,0.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA
Seven Dwarfs Mine Train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA
BC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,NA,NA,1.00,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Tomorrowland Speedway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,NA,NA,NA,0.00,NA,2.00,NA,NA,NA,NA
Space Mountain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,2.00,NA,NA,NA,NA
Astro Orbiter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,2.00,0.00,1.00,1.00,1.00,NA
PeopleMover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,0.00,1.00,NA,NA
Carousel of Progress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,1.00,0.00,1.00,NA
Buzz Lightyear's Space Ranger Spin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,NA,1.00,0.00,1.00
Monsters Inc. Laugh Floor,NA,NA,NA,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,0.00
